date,route,day_type,ridership
2001-01-03,44,W,5085
2001-01-03,80,W,10881
2001-01-04,152,W,8853
2001-01-03,56A,W,403
2001-01-03,119,W,3810
2001-01-04,121,W,1095
2001-01-03,19,W,177
2001-01-05,8,W,17872
2001-01-03,111,W,4563
2001-01-04,39,W,2085
2001-01-01,85,U,4143
2001-01-05,1,W,6154
2001-01-03,50,W,7747
2001-01-04,123,W,665
2001-01-01,18,U,375
2001-01-01,8,U,6309
2001-01-02,9,W,24797
2001-01-05,11,W,2980
2001-01-04,173,W,161
2001-01-04,53A,W,6679
2001-01-02,151,W,21861
2001-01-02,67,W,10394
2001-01-04,85A,W,828
2001-01-04,88,W,1849
2001-01-01,52A,U,1451
2001-01-03,24,W,2311
2001-01-04,62H,W,1143
2001-01-03,87,W,13299
2001-01-02,68,W,1352
2001-01-04,48,W,753
2001-01-04,171,W,584
2001-01-04,8A,W,2746
2001-01-01,87,U,4577
2001-01-04,203,W,1289
2001-01-02,24,W,2989
2001-01-01,126,U,2689
2001-01-04,71,W,6211
2001-01-01,10,U,385
2001-01-02,84,W,3588
2001-01-03,68,W,974
2001-01-01,119,U,2159
2001-01-04,156,W,9138
2001-01-03,65,W,6063
2001-01-01,103,U,869
2001-01-03,35,W,5261
2001-01-03,64,W,353
2001-01-04,25,W,89
2001-01-03,52A,W,4994
2001-01-03,170,W,355
2001-01-02,55,W,10984
2001-01-04,49A,W,279
2001-01-04,170,W,322
2001-01-03,11,W,3215
2001-01-04,100,W,744
2001-01-02,71,W,5932
2001-01-01,112,U,713
2001-01-04,108,W,2263
2001-01-01,70,U,4295
2001-01-03,43,W,1124
2001-01-03,172,W,661
2001-01-03,81,W,12450
2001-01-02,63,W,17764
2001-01-03,122,W,1039
2001-01-04,52,W,11179
2001-01-04,50,W,7496
2001-01-05,25,W,232
2001-01-02,65,W,6524
2001-01-03,39,W,1925
2001-01-01,66,U,7900
2001-01-02,51,W,3440
2001-01-03,79,W,25587
2001-01-02,36,W,13977
2001-01-03,20,W,21184
2001-01-03,77,W,17033
2001-01-04,79,W,27047
2001-01-03,95E,W,4857
2001-01-04,63W,W,2122
2001-01-03,136,W,2011
2001-01-03,72,W,14868
2001-01-03,202,W,322
2001-01-02,54,W,10046
2001-01-02,75,W,5488
2001-01-02,53,W,18510
2001-01-04,57,W,3413
2001-01-05,19,W,255
2001-01-02,49,W,19361
2001-01-01,90,U,819
2001-01-02,171,W,257
2001-01-02,8,W,14915
2001-01-02,39,W,1708
2001-01-03,37,W,2445
2001-01-01,146,U,2191
2001-01-03,33,W,541
2001-01-04,91,W,7689
2001-01-02,201,W,1136
2001-01-01,50,U,1832
2001-01-02,54B,W,4619
2001-01-05,30,W,3052
2001-01-04,204,W,1130
2001-01-02,127,W,329
2001-01-03,2,W,652
2001-01-04,34,W,6445
2001-01-02,21,W,6535
2001-01-01,30,U,600
2001-01-03,108,W,2179
2001-01-03,201,W,1158
2001-01-02,70,W,9218
2001-01-02,90N,W,223
2001-01-01,97,U,945
2001-01-02,91,W,5559
2001-01-01,84,U,843
2001-01-03,53,W,19299
2001-01-02,119,W,4456
2001-01-03,94,W,9009
2001-01-01,73,U,923
2001-01-05,2,W,631
2001-01-05,39,W,2059
2001-01-04,35,W,5497
2001-01-02,52A,W,5056
2001-01-03,93,W,1803
2001-01-01,57,U,541
2001-01-02,76,W,11034
2001-01-05,43,W,1214
2001-01-01,172,U,2
2001-01-02,52,W,9613
2001-01-02,66,W,17345
2001-01-03,129,W,742
2001-01-03,125,W,2933
2001-01-04,77,W,17775
2001-01-02,204,W,857
2001-01-04,96,W,945
2001-01-01,47,U,2676
2001-01-04,19,W,305
2001-01-04,155,W,6603
2001-01-01,9,U,11207
2001-01-04,4,W,21081
2001-01-02,112,W,2613
2001-01-03,155,W,6790
2001-01-03,95W,W,3794
2001-01-02,25,W,70
2001-01-03,4,W,18853
2001-01-01,8A,U,1008
2001-01-05,3,W,21221
2001-01-03,75,W,6155
2001-01-02,56,W,13157
2001-01-04,72,W,14646
2001-01-02,202,W,321
2001-01-02,86,W,1353
2001-01-01,54,U,4675
2001-01-02,146,W,9272
2001-01-03,135,W,2052
2001-01-02,7,W,4268
2001-01-04,33,W,1105
2001-01-03,73,W,4096
2001-01-04,56,W,13516
2001-01-02,11,W,3140
2001-01-01,71,U,2522
2001-01-01,53A,U,1104
2001-01-03,7,W,4507
2001-01-02,85A,W,753
2001-01-04,129,W,381
2001-01-04,65,W,6212
2001-01-03,151,W,22647
2001-01-02,81,W,12366
2001-01-03,54,W,10401
2001-01-01,155,U,2540
2001-01-04,82,W,16642
2001-01-04,86,W,1204
2001-01-02,73,W,3500
2001-01-01,94,U,2540
2001-01-04,3,W,19424
2001-01-03,63W,W,2036
2001-01-04,90,W,4148
2001-01-04,27,W,5011
2001-01-03,63,W,19117
2001-01-04,54A,W,1173
2001-01-03,34,W,7089
2001-01-03,49A,W,338
2001-01-04,112,W,2777
2001-01-04,169,W,515
2001-01-04,80,W,10654
2001-01-02,72,W,12005
2001-01-03,100,W,666
2001-01-02,80,W,11825
2001-01-02,126,W,7353
2001-01-02,27,W,3803
2001-01-03,91,W,6404
2001-01-05,20,W,20573
2001-01-02,100,W,601
2001-01-03,127,W,164
2001-01-01,75,U,2484
2001-01-05,9,W,27956
2001-01-05,24,W,3312
2001-01-03,171,W,771
2001-01-01,22,U,7877
2001-01-05,35,W,5436
2001-01-03,54B,W,4384
2001-01-04,52A,W,5503
2001-01-01,145,U,1379
2001-01-04,84,W,3703
2001-01-03,47,W,7823
2001-01-03,88,W,1428
2001-01-02,125,W,2935
2001-01-04,56A,W,302
2001-01-01,44,U,1463
2001-01-01,43,U,311
2001-01-01,55,U,5805
2001-01-04,43,W,1260
2001-01-04,94,W,9404
2001-01-03,82,W,14486
2001-01-03,62H,W,1151
2001-01-03,60,W,12039
2001-01-03,169,W,521
2001-01-02,14,W,6497
2001-01-01,X21,U,723
2001-01-03,36,W,14130
2001-01-05,4,W,21679
2001-01-03,18,W,2506
2001-01-01,35,U,1526
2001-01-03,121,W,1365
2001-01-03,53A,W,6469
2001-01-04,53,W,18968
2001-01-01,63W,U,316
2001-01-02,129,W,848
2001-01-02,64,W,274
2001-01-04,9,W,26970
2001-01-01,29,U,9303
2001-01-02,34,W,5089
2001-01-03,1,W,6809
2001-01-03,103,W,3120
2001-01-02,48,W,641
2001-01-02,111,W,4488
2001-01-02,22,W,19558
2001-01-04,24,W,2691
2001-01-01,3,U,7354
2001-01-01,95W,U,2201
2001-01-02,47,W,6834
2001-01-03,22,W,19286
2001-01-01,65,U,1571
2001-01-02,95W,W,4979
2001-01-02,94,W,7840
2001-01-02,63W,W,1842
2001-01-01,173,U,69
2001-01-04,66,W,19628
2001-01-02,85,W,9836
2001-01-02,155,W,6756
2001-01-02,20,W,17914
2001-01-04,106,W,1336
2001-01-04,95W,W,5159
2001-01-04,90N,W,283
2001-01-03,12,W,9220
2001-01-03,17,W,402
2001-01-03,152,W,7689
2001-01-02,18,W,1523
2001-01-01,95E,U,3418
2001-01-04,18,W,2138
2001-01-01,72,U,5128
2001-01-04,135,W,2417
2001-01-03,6,W,14542
2001-01-02,62,W,11218
2001-01-01,106,U,326
2001-01-04,2,W,837
2001-01-01,74,U,4099
2001-01-03,49,W,19796
2001-01-04,12,W,9364
2001-01-02,53A,W,5778
2001-01-04,67,W,11313
2001-01-03,78,W,7320
2001-01-01,62,U,4355
2001-01-01,111,U,1507
2001-01-03,52,W,9684
2001-01-01,79,U,14683
2001-01-02,30,W,2686
2001-01-04,125,W,3083
2001-01-02,93,W,1387
2001-01-04,85,W,11753
2001-01-04,36,W,15147
2001-01-04,44,W,5670
2001-01-02,29,W,13997
2001-01-02,43,W,956
2001-01-02,49A,W,307
2001-01-02,92,W,5877
2001-01-03,21,W,7337
2001-01-01,67,U,6189
2001-01-01,27,U,1903
2001-01-03,25,W,77
2001-01-02,290S,W,5
2001-01-03,54A,W,1181
2001-01-02,56A,W,656
2001-01-04,69,W,209
2001-01-02,2,W,629
2001-01-01,78,U,2353
2001-01-02,121,W,936
2001-01-01,81,U,5726
2001-01-05,6,W,16543
2001-01-04,73,W,4434
2001-01-04,75,W,6635
2001-01-03,86,W,1138
2001-01-02,59,W,3557
2001-01-04,74,W,12428
2001-01-02,136,W,1462
2001-01-01,171,U,15
2001-01-03,55,W,10791
2001-01-04,11,W,3188
2001-01-01,12,U,3678
2001-01-04,8,W,17928
2001-01-05,22,W,20680
2001-01-03,146,W,9649
2001-01-04,7,W,6483
2001-01-03,8A,W,2743
2001-01-03,90N,W,273
2001-01-01,6,U,6048
2001-01-02,60,W,12751
2001-01-02,37,W,1961
2001-01-03,69,W,410
2001-01-02,169,W,405
2001-01-01,91,U,1870
2001-01-02,87,W,11749
2001-01-02,12,W,8605
2001-01-04,146,W,8858
2001-01-02,122,W,759
2001-01-03,74,W,10725
2001-01-01,76,U,3071
2001-01-03,96,W,1208
2001-01-03,49B,W,4678
2001-01-01,49B,U,1571
2001-01-04,151,W,22725
2001-01-04,21,W,6755
2001-01-03,27,W,5144
2001-01-03,97,W,3357
2001-01-02,4,W,19000
2001-01-02,97,W,2929
2001-01-01,68,U,221
2001-01-04,127,W,161
2001-01-03,90,W,3510
2001-01-04,119,W,4730
2001-01-03,71,W,6326
2001-01-02,33,W,742
2001-01-01,80,U,3966
2001-01-04,97,W,3682
2001-01-02,120,W,691
2001-01-03,157,W,2993
2001-01-02,6,W,15904
2001-01-04,122,W,959
2001-01-04,28,W,10676
2001-01-02,54A,W,1049
2001-01-01,81W,U,200
2001-01-03,106,W,1305
2001-01-04,30,W,3391
2001-01-03,67,W,11896
2001-01-02,55N,W,857
2001-01-03,76,W,11059
2001-01-03,123,W,1256
2001-01-05,34,W,7909
2001-01-04,49B,W,4855
2001-01-04,81,W,14784
2001-01-04,51,W,4177
2001-01-01,53,U,8058
2001-01-05,37,W,2063
2001-01-01,21,U,3454
2001-01-02,3,W,16697
2001-01-03,8,W,16893
2001-01-05,33,W,880
2001-01-02,57,W,2213
2001-01-03,92,W,6467
2001-01-01,60,U,4803
2001-01-04,6,W,16796
2001-01-05,12,W,10139
2001-01-04,60,W,13032
2001-01-02,8A,W,2421
2001-01-03,112,W,3137
2001-01-02,170,W,221
2001-01-03,51,W,3548
2001-01-03,3,W,18195
2001-01-02,35,W,4923
2001-01-01,151,U,9882
2001-01-02,78,W,8027
2001-01-01,152,U,1734
2001-01-03,62,W,13066
2001-01-03,173,W,149
2001-01-04,87,W,15132
2001-01-04,59,W,3567
2001-01-04,157,W,3013
2001-01-05,27,W,5517
2001-01-04,54,W,11569
2001-01-02,157,W,3035
2001-01-04,92,W,6539
2001-01-02,50,W,6487
2001-01-01,52,U,4061
2001-01-01,49,U,11829
2001-01-04,55N,W,775
2001-01-04,126,W,8278
2001-01-01,77,U,7087
2001-01-04,54B,W,4988
2001-01-03,56,W,14144
2001-01-02,173,W,164
2001-01-03,156,W,9283
2001-01-04,201,W,893
2001-01-03,85A,W,940
2001-01-02,156,W,8273
2001-01-02,77,W,15628
2001-01-05,21,W,6297
2001-01-04,103,W,3144
2001-01-02,203,W,1047
2001-01-03,9,W,25393
2001-01-04,62,W,14352
2001-01-04,63,W,19379
2001-01-01,54B,U,1640
2001-01-04,49,W,21114
2001-01-01,36,U,7044
2001-01-05,28,W,10856
2001-01-04,68,W,1287
2001-01-02,19,W,456
2001-01-03,X49,W,4485
2001-01-01,20,U,7096
2001-01-04,120,W,582
2001-01-04,47,W,8254
2001-01-03,204,W,985
2001-01-04,22,W,20265
2001-01-03,126,W,7635
2001-01-02,X49,W,3735
2001-01-03,30,W,2971
2001-01-01,56,U,5461
2001-01-02,74,W,11900
2001-01-02,82,W,14423
2001-01-01,92,U,1694
2001-01-03,70,W,8918
2001-01-04,55,W,12428
2001-01-04,20,W,21221
2001-01-04,29,W,14369
2001-01-04,64,W,530
2001-01-04,202,W,403
2001-01-01,201,U,186
2001-01-04,X49,W,4684
2001-01-02,135,W,2804
2001-01-05,18,W,1201
2001-01-04,81W,W,1831
2001-01-03,85,W,10954
2001-01-03,48,W,786
2001-01-03,28,W,9845
2001-01-03,55N,W,670
2001-01-02,108,W,2035
2001-01-04,17,W,381
2001-01-04,76,W,12176
2001-01-03,59,W,3513
2001-01-03,14,W,7886
2001-01-02,17,W,376
2001-01-01,28,U,5462
2001-01-02,62H,W,1137
2001-01-04,147,W,8479
2001-01-03,29,W,15243
2001-01-01,4,U,9288
2001-01-02,69,W,426
2001-01-02,81W,W,1564
2001-01-04,78,W,8399
2001-01-02,28,W,9121
2001-01-02,90,W,3825
2001-01-04,93,W,1924
2001-01-03,147,W,7954
2001-01-03,145,W,7731
2001-01-02,44,W,4912
2001-01-02,88,W,1223
2001-01-04,172,W,792
2001-01-01,34,U,3541
2001-01-01,63,U,8995
2001-01-04,37,W,2007
2001-01-01,11,U,610
2001-01-04,145,W,8352
2001-01-02,152,W,8511
2001-01-01,88,U,408
2001-01-02,123,W,876
2001-01-03,57,W,2424
2001-01-04,136,W,2245
2001-01-05,17,W,467
