year,month,mode,avg_ridership_chicago,avg_ridership_philadelphia
2019,1,bus,563028.0,459160
2019,2,bus,652809.8571428572,464674
2019,3,bus,653778.9354838709,478487
2019,4,bus,664562.6666666666,473732
2019,5,bus,682092.5161290322,480074
2019,6,bus,659809.8,396720
2019,7,bus,642061.8387096775,401911
2019,8,bus,643248.6451612903,406865
2019,9,bus,695255.9666666667,501557
2019,10,bus,703238.7096774194,502857
2019,11,bus,643480.2666666667,490316
2019,12,bus,599792.0645161291,437027
2020,1,bus,628464.0967741936,493261
2020,2,bus,656210.8620689656,503967
2020,3,bus,430343.7419354839,414021
2020,4,bus,195055.06666666668,141411
2020,5,bus,220091.90322580645,165838
2020,6,bus,244389.7,192334
2020,7,bus,277691.1935483871,203766
2020,8,bus,275514.03225806454,189252
2020,9,bus,286440.4666666667,205693
2020,10,bus,286671.0967741936,207445
2020,11,bus,249798.06666666668,193063
2020,12,bus,240878.96774193548,200729
2021,1,bus,230863.93548387097,184766
2021,2,bus,243111.10714285713,184944
2021,3,bus,286049.96774193546,208266
2021,4,bus,295486.0,209824
2021,5,bus,296700.8387096774,216243
2021,6,bus,328157.0333333333,222345
2021,7,bus,342101.0967741936,232352
2021,8,bus,353215.51612903224,238176
2021,9,bus,401958.8333333333,291653
2021,10,bus,384052.5483870968,302979
2021,11,bus,364130.86666666664,293035
2021,12,bus,328255.7419354839,272915
2022,1,bus,277631.77419354836,243951
2022,2,bus,345886.6785714286,292800
2022,3,bus,389742.8064516129,303607
2022,4,bus,382686.93333333335,297311
2022,5,bus,395293.0,313650
2022,6,bus,399839.4,262689
2022,7,bus,372723.51612903224,272936
2022,8,bus,407800.7419354839,272216
2022,9,bus,442211.63333333336,341880
2022,10,bus,429049.5483870968,340544
2022,11,bus,401847.1666666667,338481
2022,12,bus,357809.29032258067,299614
2023,1,bus,377474.70967741933,319605
2023,2,bus,414453.03571428574,342049
2023,3,bus,435634.9032258064,341407
2023,4,bus,426814.5333333333,336495
2023,5,bus,455706.48387096776,359462
2023,6,bus,439543.5,302745
2023,7,bus,419327.1612903226,297469
2023,8,bus,468669.0967741936,307127
2023,9,bus,493214.23333333334,367249
2023,10,bus,491693.1935483871,378441
2023,11,bus,463167.73333333334,368386
2023,12,bus,429316.1612903226,347255
2024,1,bus,415582.7419354839,343510
2024,2,bus,496843.9655172414,374784
2024,3,bus,477227.48387096776,344983
2024,4,bus,520507.0333333333,362983
2024,5,bus,527987.1290322581,381468
2024,6,bus,491425.63333333336,341764
2024,7,bus,493770.4516129032,322859
2024,8,bus,501116.12903225806,334527
2024,9,bus,538703.0666666667,401877
2024,10,bus,564973.8709677419,405318
2024,11,bus,490009.93333333335,382848
2024,12,bus,442109.29032258067,350305
2025,1,bus,443943.77419354836,354820
2025,2,bus,490197.3214285714,375744
2025,3,bus,502098.4193548387,382227
2025,4,bus,542728.6333333333,377072
2025,5,bus,527667.8709677419,387744
2025,6,bus,503232.56666666665,345285
2025,7,bus,497015.06451612903,334079
2025,8,bus,524644.8064516129,331653
2025,9,bus,557363.2666666667,377001
2025,10,bus,552483.5161290322,392615
2019,1,rail_boardings,518349.8387096774,419565
2019,2,rail_boardings,584176.4642857143,437019
2019,3,rail_boardings,581263.5161290322,427005
2019,4,rail_boardings,612854.9666666667,429536
2019,5,rail_boardings,619579.6774193548,422963
2019,6,rail_boardings,626124.7666666667,387558
2019,7,rail_boardings,616254.7741935484,378636
2019,8,rail_boardings,626095.4193548387,382586
2019,9,rail_boardings,639273.9333333333,460388
2019,10,rail_boardings,663959.5483870967,460176
2019,11,rail_boardings,581612.1333333333,453223
2019,12,rail_boardings,513665.8064516129,441040
